name,lcd,pld,void_fraction,surface_area_m2g,elements,uptake_0.01,uptake_0.05,uptake_0.1,uptake_0.5,uptake_2.5
hMOF-5062346,10.25,9.25,0.724119,4321.1,"O,Cu,C,N,H",0.00576927,0.0240804,0.0612044,0.281691,1.46138
hMOF-5076812,15.25,14.25,0.820839,4458.3,"O,Cu,C,N,H",0.0103006,0.0535892,0.108352,0.580746,2.74127
hMOF-5066457,4.25,3.25,0.228141,100.9,"O,Cu,C,N,H",0.422423,0.957655,1.12949,1.47857,1.9663
hMOF-5083021,8.75,5.75,0.740429,3778.8,"O,Cu,C,N,H",0.10893,0.420225,0.828608,2.92139,9.68164
hMOF-5066052,5.25,3.25,0.329094,604.7,"O,Cu,C,N,H,Cl",0.0620382,0.274891,0.494988,1.97758,3.39333
hMOF-5083142,17.75,15.75,0.893706,4618.9,"O,Cu,C,N,H",0.0108753,0.0545829,0.1219,0.565583,2.60325
hMOF-5079822,11.25,9.75,0.808384,1459.7,"O,Cu,C,N,H,Br",0.028513,0.146844,0.272235,1.27136,5.97538
hMOF-33503,6.25,5.75,0.550547,776.3,"O,Cu,C,N,H,Br",0.108486,0.575029,1.00845,2.50482,3.93328
hMOF-5077342,7.75,5.25,0.571157,956.8,"O,Cu,C,N,H,Br",0.127962,0.500885,0.826866,2.37472,4.52863
hMOF-36189,9.25,7.25,0.657519,2662.4,"O,Cu,C,N,H",0.0440798,0.196419,0.3403,1.81454,6.57407
hMOF-5066122,12.75,12.25,0.846333,5931.4,"O,Cu,C,N,H",0.00436295,0.0264073,0.0562591,0.288873,1.51578
hMOF-5067508,4.75,2.25,0.183008,118.8,"O,Cu,C,N,H",0.197259,0.5771,0.683646,0.880442,1.13155
hMOF-5073221,4.75,3.25,0.271987,333.3,"O,Cu,C,N,H",0.067959,0.323419,0.56622,1.42991,2.1471
hMOF-5067435,8.25,7.25,0.540158,1671.2,"O,Cu,C,N,H",0.0304357,0.170314,0.263987,1.31047,4.76075
hMOF-5070435,10.25,8.75,0.669413,2133.6,"O,Cu,C,N,H,Cl",0.0220069,0.107418,0.212456,1.0505,5.75701
hMOF-5065760,3.75,2.75,0.222456,95.2,"O,Cu,C,N,H,F",0.0267389,0.137744,0.318537,0.825911,1.87483
hMOF-30875,4.75,3.25,0.347554,147.3,"O,Cu,C,N,H",0.331403,0.891574,1.33852,2.42465,3.31318
hMOF-5061874,6.25,5.25,0.661197,3309.9,"O,Cu,C,N,H",0.0240222,0.124916,0.233893,1.27554,5.85311
hMOF-5062040,3.75,2.25,0.102585,13.9,"O,Cu,C,N,H",0.00218253,0.0111746,0.0256666,0.0996108,0.251166
hMOF-5065905,5.75,4.25,0.453757,1478.9,"O,Cu,C,N",0.0119434,0.0581246,0.119514,0.582122,2.15547
hMOF-5068419,12.75,11.75,0.747045,3612.4,"O,Cu,C,N,H,Cl",0.0126732,0.0691347,0.120614,0.597653,3.12277
hMOF-5060472,9.25,7.75,0.736832,2856.6,"O,Cu,C,N,H",0.0133791,0.081242,0.17683,0.867226,5.13372
hMOF-5067839,6.75,5.25,0.555519,1307.9,"O,Cu,C,N,H,Br",0.0195952,0.106394,0.226586,1.01384,3.90979
hMOF-35359,6.25,5.25,0.526989,877.4,"O,Cu,C,N,H,F",0.418157,1.71589,2.45589,3.66354,4.57883
hMOF-5063000,5.25,3.25,0.618293,1597.0,"O,Cu,C,N,H",0.271567,1.3213,2.25053,5.99951,9.32999
hMOF-5075828,12.25,11.25,0.849277,4201.9,"O,Cu,C,N,H",0.0420285,0.220816,0.435517,1.84959,7.87945
hMOF-5061681,16.25,14.75,0.860634,3261.7,"O,Cu,C,N,H,Br",0.00630751,0.0338826,0.0773883,0.324917,1.69575
hMOF-5076378,6.25,4.75,0.420377,805.7,"O,Cu,C,N,H,Cl",0.0447291,0.226663,0.415122,1.59254,3.34524
hMOF-5061543,11.75,10.75,0.846628,5892.3,"O,Cu,C,N,H",0.0120952,0.0620469,0.12158,0.616071,3.2921
hMOF-5067893,6.75,5.75,0.630139,3385.8,"O,Cu,C,N,H",0.0364733,0.178417,0.335151,1.51465,6.30954
hMOF-5082755,14.75,13.25,0.847087,4833.4,"O,Cu,C,N,H",0.00717879,0.0412992,0.0753351,0.376591,2.08405
hMOF-5069434,9.75,8.75,0.705927,2458.1,"O,Cu,C,N,H",0.028827,0.162721,0.313683,1.565,6.64576
hMOF-5074638,3.75,2.25,0.265183,14.1,"O,Cu,C,N,H,Cl",0.00458431,0.0313427,0.0478363,0.394849,0.958171
hMOF-5058994,4.75,2.75,0.373543,606.4,"O,Cu,C,N,H,Cl",0.0702453,0.28896,0.557861,1.43667,2.43219
hMOF-5077057,11.75,10.75,0.79579,3957.0,"O,Cu,C,N,H",0.0118293,0.0749188,0.136037,0.726234,3.70524
hMOF-33134,7.25,4.75,0.602111,2558.3,"O,Cu,C,N,H",0.0305123,0.133829,0.304606,1.32042,5.34127
hMOF-5069281,7.75,3.25,0.411043,1034.4,"O,Cu,C,N,H",0.0770147,0.35312,0.613641,2.11763,4.91348
hMOF-3002035,11.75,10.75,0.715534,3916.9,"O,Cu,N,C,H",0.00858295,0.0414404,0.0888309,0.41235,1.91921
hMOF-5066810,6.25,5.25,0.501558,1380.5,"O,Cu,C,N,H",0.0369669,0.174566,0.350625,1.86608,5.04262
hMOF-5079512,8.25,7.25,0.838711,3864.5,"O,Cu,C,N,H",0.0486229,0.248883,0.459222,2.54147,15.1671
hMOF-5075256,12.25,10.75,0.817038,5289.5,"O,Cu,C,N,H",0.00552833,0.0452632,0.0827522,0.430001,2.24779
hMOF-5080753,15.75,14.75,0.89856,4280.1,"O,Cu,C,N,H,Cl",0.0111454,0.0606413,0.110752,0.576663,2.91745
hMOF-29220,6.75,5.25,0.654323,2856.1,"O,Cu,C,N,H",0.0224908,0.109796,0.24699,1.21471,4.76007
hMOF-33367,10.25,9.75,0.756336,3170.3,"O,Cu,C,N,H,F",0.0211853,0.145813,0.274094,1.60833,7.62232
hMOF-2000705,19.25,17.25,0.810176,3486.8,"O,Cu,C,H,F",0.052841,0.21944,0.4762,1.86559,6.07662
hMOF-5079967,3.75,2.25,0.157348,32.1,"O,Cu,C,N,H,Cl",0.119928,0.254276,0.479674,0.988911,1.47566
hMOF-28451,14.75,13.75,0.846772,5064.3,"O,Cu,C,N,H",0.0260154,0.144913,0.247616,1.31111,5.15188
hMOF-5064410,14.25,13.75,0.841303,4272.9,"O,Cu,C,N,H,Cl",0.00992198,0.042232,0.0835736,0.43097,2.08616
hMOF-5078139,8.75,7.75,0.546376,1878.5,"O,Cu,C,N,H",0.0131707,0.0580041,0.115875,0.656537,3.12743
hMOF-33381,11.75,10.75,0.805864,2165.8,"O,Cu,C,N,H,Br",0.0126928,0.0599236,0.115271,0.668054,3.36108
hMOF-5077555,6.75,4.25,0.68804,3450.9,"O,Cu,C,N,H,Cl",0.0219859,0.12483,0.231473,1.21193,6.79446
hMOF-5063170,4.25,3.25,0.437423,288.0,"O,Cu,C,N,H,Br",0.626846,1.43416,1.71891,2.37544,2.63842
hMOF-5066979,6.25,5.25,0.529583,1212.1,"O,Cu,C,N,H",0.176378,0.830214,1.24663,3.39762,5.12902
hMOF-5065038,4.75,3.25,0.285672,310.6,"O,Cu,C,N,H",0.0753198,0.335218,0.605446,1.78105,2.68053
hMOF-5060509,6.75,6.25,0.614802,1702.3,"O,Cu,C,N,H",0.0942641,0.441393,0.801245,2.85068,6.16426
hMOF-5081322,9.75,7.25,0.76203,3948.3,"O,Cu,C,N,H",0.0237924,0.136287,0.284182,1.38527,6.84153
hMOF-5066326,6.25,4.25,0.557842,1471.8,"O,Cu,C,N,H,F",0.260461,1.20637,2.3013,6.23257,8.15626
hMOF-5064530,5.75,4.75,0.421403,702.5,"O,Cu,C,N,H,F",0.0668835,0.345517,0.648343,2.05318,4.40349
hMOF-5067093,3.75,2.75,0.233437,29.7,"O,Cu,C,N,H,Cl",0.817797,1.25522,1.38051,1.52339,1.67171
hMOF-36201,5.25,3.75,0.451833,760.8,"O,Cu,C,N,H,F",0.65477,2.13878,2.93957,4.80242,6.24178
hMOF-29249,5.25,3.75,0.499847,1769.5,"O,Cu,C,N,H",0.0395718,0.198919,0.34272,1.70777,4.84719
hMOF-5076376,17.25,15.75,0.871927,4153.6,"O,Cu,C,N,H,Cl",0.00806698,0.0443684,0.0841131,0.443586,2.26889
hMOF-2000537,12.25,9.75,0.716662,2041.9,"O,Cu,C,H,N",0.382901,0.710566,0.853791,1.37298,4.0
hMOF-5073071,10.75,9.25,0.739776,4948.5,"O,Cu,C,N,H",0.01449,0.088182,0.16698,0.851184,3.93576
hMOF-29075,6.75,5.75,0.73948,4258.0,"O,Cu,C,N,H",0.0222147,0.101654,0.209406,1.05868,6.39129
hMOF-36052,6.75,4.75,0.567079,1657.7,"O,Cu,C,N,H,Cl",0.128901,0.566232,1.19008,4.2137,6.98025
hMOF-5059486,11.25,10.25,0.822084,5548.0,"O,Cu,C,N,H",0.00646465,0.0330221,0.0684904,0.323058,1.71261
hMOF-5066311,10.75,9.75,0.711693,2713.6,"O,Cu,C,N,H",0.0113679,0.0704812,0.129452,0.740479,3.80982
hMOF-5078175,6.25,4.25,0.611228,2353.1,"O,Cu,C,N,H,Cl",0.0474519,0.248397,0.440421,2.36953,7.61373
hMOF-30898,12.25,11.25,0.764759,3185.6,"O,Cu,C,N,H,Cl",0.0200989,0.115468,0.193435,1.01425,4.13363
hMOF-3001591,10.25,8.25,0.794,5030.4,"O,Cu,N,C,H",0.00478087,0.0223973,0.04586,0.237069,1.17474
hMOF-35940,6.75,5.75,0.63181,1993.7,"O,Cu,C,N,H",0.0446975,0.253521,0.471532,2.22374,6.66946
hMOF-5061232,3.25,2.75,0.181424,1.1,"O,Cu,C,N",0.0,0.0012274,0.00201645,0.0103452,0.0675948
hMOF-5075702,14.75,13.75,0.814122,3409.0,"O,Cu,C,N,H,Cl",0.0123736,0.0706765,0.15488,0.750072,3.5269
hMOF-5066599,8.25,6.75,0.567941,923.4,"O,Cu,C,N,H,Br",0.019687,0.108374,0.190499,0.867119,3.23625
hMOF-35911,7.75,6.25,0.703834,2055.5,"O,Cu,C,N,H",0.0428821,0.225258,0.470855,2.27648,7.50708
hMOF-5073989,6.25,4.25,0.644888,2141.5,"O,Cu,C,N,H",0.140451,0.626179,1.31143,4.30754,8.09497
hMOF-5063574,6.75,4.25,0.553474,1787.7,"O,Cu,C,N,H",0.0713893,0.390918,0.727515,2.69819,5.86016
hMOF-3001948,16.25,14.25,0.826009,4240.2,"O,Cu,N,C,H,F",0.00702561,0.0382295,0.0792438,0.3847,1.86698
hMOF-5083116,10.25,7.75,0.78774,3928.6,"O,Cu,C,N,H",0.0189564,0.0925226,0.196994,0.893594,5.34701
hMOF-5074833,13.75,12.75,0.832079,4019.7,"O,Cu,C,N,H,F",0.0179922,0.08905,0.165118,0.808965,4.30924
hMOF-5059269,9.25,8.75,0.725686,3079.9,"O,Cu,C,N",0.00682053,0.0291423,0.0669653,0.362418,1.89053
hMOF-28905,13.25,12.25,0.817431,3481.1,"O,Cu,C,N,H,F",0.0144099,0.0659094,0.127183,0.721996,3.83828
hMOF-32413,11.25,10.25,0.756531,3281.3,"O,Cu,C,N,H",0.0311296,0.120627,0.232057,1.12668,5.52715
hMOF-5066517,4.75,3.25,0.327103,359.7,"O,Cu,C,N,H,Cl",0.0753046,0.376587,0.556921,1.98033,4.09162
hMOF-5068709,11.75,10.75,0.780093,3692.2,"O,Cu,C,N,H,Cl",0.0218928,0.0993067,0.217351,1.09464,4.29228
hMOF-5068359,7.25,6.25,0.665838,3337.4,"O,Cu,C,N,H",0.0347762,0.176584,0.331185,1.80476,9.02489
hMOF-3001360,12.75,9.75,0.865454,4973.4,"O,Cu,N,C,H,Cl",0.00587606,0.0291511,0.0617195,0.272091,1.41692
hMOF-29710,17.25,15.75,0.864449,3721.5,"O,Cu,C,N,H,Cl",0.0132448,0.0663005,0.148449,0.701055,3.33179
hMOF-5074254,6.25,3.75,0.459796,1160.8,"O,Cu,C,N,H",0.103308,0.448736,0.806461,2.53607,5.03353
hMOF-3001627,9.25,5.75,0.690497,4067.2,"O,Cu,N,C,H",0.0152552,0.0753275,0.154133,0.714287,3.33251
hMOF-5076672,4.75,3.75,0.580381,1882.1,"O,Cu,C,N,H",0.0828785,0.419452,0.852165,3.26367,6.68262
hMOF-5075570,13.75,12.75,0.829445,5418.8,"O,Cu,C,N,H",0.0183436,0.0782225,0.149239,0.726801,3.53377
hMOF-5071904,5.25,4.25,0.684339,2795.0,"O,Cu,C,N,H",0.303933,1.56073,3.02071,7.74177,11.3194
hMOF-27393,8.25,7.25,0.662774,2339.5,"O,Cu,C,N,H",0.0211295,0.103788,0.242905,1.13795,5.26361
hMOF-5072773,10.75,9.75,0.778918,4618.1,"O,Cu,C,N,H",0.0136858,0.0780458,0.137227,0.699946,3.85704
hMOF-5074180,7.25,4.75,0.682409,2464.5,"O,Cu,C,N,H,Cl",0.0762119,0.388342,0.753191,3.21806,8.56676
hMOF-5074622,4.75,3.75,0.30711,357.8,"O,Cu,C,N,H",0.364422,1.28964,1.62937,2.31395,2.64102
hMOF-5071993,5.75,4.75,0.516518,1144.6,"O,Cu,C,N,H,Br",0.0278812,0.145922,0.301087,1.34966,3.55577
hMOF-5062058,6.75,6.25,0.604917,2481.6,"O,Cu,C,N,H",0.0122077,0.0449348,0.0857138,0.469348,2.45921
hMOF-28656,4.75,3.75,0.283046,429.3,"O,Cu,C,N,H",0.0290257,0.134642,0.249902,0.910282,2.36643
hMOF-32674,7.25,6.75,0.582981,1473.1,"O,Cu,C,N,H,Br",0.0161474,0.0700609,0.154268,0.74318,3.19064
hMOF-27401,7.25,4.75,0.596738,2011.7,"O,Cu,C,N,H",0.0491375,0.235343,0.454864,2.01068,6.82783
hMOF-5078842,6.25,4.25,0.706157,1951.9,"O,Cu,C,N,H",0.751856,2.53846,3.72656,6.88401,9.26526
hMOF-35116,5.25,4.75,0.665829,973.4,"O,Cu,C,N,H,Cl",0.945512,2.63475,3.5584,5.02698,5.9679
hMOF-5077107,10.25,9.25,0.681953,2549.1,"O,Cu,C,N,H",0.0677509,0.328505,0.653694,2.46556,8.04224
hMOF-5070537,6.25,4.75,0.570226,2057.9,"O,Cu,C,N,H",0.0266033,0.114537,0.253239,1.18456,5.84481
hMOF-5077168,7.75,6.75,0.722405,2000.5,"O,Cu,C,N,H",0.548016,1.54252,1.94897,4.08193,8.2394
hMOF-34780,4.75,4.25,0.421298,924.7,"O,Cu,C,N,H",0.145188,0.564113,1.00315,2.84306,4.37595
hMOF-5078614,4.25,2.75,0.258308,303.5,"O,Cu,C,N,H,Cl",0.680351,1.56757,1.83196,2.12813,2.36217
hMOF-5066961,6.75,5.75,0.483865,1081.8,"O,Cu,C,N,H",0.0720646,0.398501,0.84835,2.78329,4.64099
hMOF-5079209,17.75,16.25,0.88613,4638.5,"O,Cu,C,N,H",0.0114401,0.0582597,0.113906,0.552655,2.57374
hMOF-37213,13.25,12.25,0.842611,4683.5,"O,Cu,C,N,H",0.0284116,0.135633,0.265844,1.249,5.0942
hMOF-30295,6.75,4.25,0.582668,2208.6,"O,Cu,C,N,H",0.0385003,0.174096,0.366107,1.75947,6.03165
hMOF-5068072,6.25,3.25,0.580033,2210.5,"O,Cu,C,N,H",0.0412039,0.201117,0.434217,2.04747,7.17724
hMOF-5081707,6.25,4.25,0.557227,1522.0,"O,Cu,C,N,H",0.10041,0.46121,0.839087,3.329,6.75871
hMOF-5077516,10.75,9.75,0.811325,4461.0,"O,Cu,C,N,H",0.00608139,0.0335345,0.0703704,0.375309,1.94049
hMOF-5058986,7.25,5.25,0.656074,2667.2,"O,Cu,C,N,H,F",0.0559539,0.256171,0.561363,2.66626,9.09457
hMOF-5062642,6.75,4.75,0.745085,5504.7,"O,Cu,C,N",0.0119434,0.0531482,0.110238,0.607442,3.22568
hMOF-5080253,13.75,12.25,0.843439,5923.5,"O,Cu,C,N,H",0.00425051,0.0306981,0.0592709,0.276519,1.34741
hMOF-5078832,6.75,4.25,0.736499,2181.8,"O,Cu,C,N,H,Br",0.0950933,0.451894,0.926326,3.45762,7.38163
hMOF-31181,5.25,2.75,0.330396,441.5,"O,Cu,C,N,H",0.161512,0.54753,0.922654,1.82463,2.73875
hMOF-30206,14.25,13.25,0.850016,4345.6,"O,Cu,C,N,H,F",0.00987223,0.0511241,0.115294,0.557311,2.7835
hMOF-31641,6.25,5.75,0.55888,2696.3,"O,Cu,C,N,H",0.0180503,0.0983228,0.202222,1.06629,5.26262
hMOF-5083276,9.75,7.75,0.819791,4339.7,"O,Cu,C,N,H",0.0234226,0.116054,0.223449,1.21199,6.81304
hMOF-5072605,7.25,5.75,0.696515,2843.5,"O,Cu,C,N,H,Cl",0.0710018,0.345966,0.593691,2.68333,8.51664
hMOF-37386,7.25,4.75,0.681802,3898.4,"O,Cu,C,N,H",0.0189128,0.104477,0.208771,1.07335,5.91935
hMOF-5076455,6.25,5.75,0.447252,992.5,"O,Cu,C,N,H",0.0302263,0.148591,0.267693,1.16922,3.64008
hMOF-5060376,3.75,2.75,0.298342,145.9,"O,Cu,C,N,H,F",0.0880028,0.353714,0.613958,1.65252,2.92112
hMOF-5069171,5.75,3.75,0.520162,1429.1,"O,Cu,C,N,H",0.111903,0.615601,1.0594,3.61235,6.98089
hMOF-5082874,8.25,6.75,0.842913,3483.7,"O,Cu,C,N,H,Br",0.0648973,0.300853,0.566312,1.88405,6.13559
hMOF-5081198,13.75,12.25,0.858178,4354.4,"O,Cu,C,N,H",0.0138022,0.0733511,0.142188,0.727088,3.39091
hMOF-33562,6.25,4.75,0.642152,1786.9,"O,Cu,C,N,H,Br",0.0400961,0.204588,0.399396,2.06681,5.24339
hMOF-5077292,13.75,12.25,0.831216,3863.8,"O,Cu,C,N,H",0.0146892,0.0897919,0.157605,0.824252,4.06648
hMOF-5071913,12.25,10.75,0.811029,4046.0,"O,Cu,C,N,H",0.0303803,0.162399,0.331358,1.39326,6.50462
hMOF-5061557,9.75,8.75,0.805056,4871.2,"O,Cu,C,N,H",0.0112681,0.0756572,0.136827,0.724914,3.30719
hMOF-5060495,6.25,5.25,0.627444,1668.7,"O,Cu,C,N,H",0.277759,1.14735,1.78099,4.52298,6.96028
hMOF-5062797,10.75,9.25,0.729448,3897.8,"O,Cu,C,N,H",0.0177957,0.087149,0.136877,0.767211,3.55448
hMOF-5078425,7.25,5.75,0.527182,998.5,"O,Cu,C,N,H,Cl",0.052317,0.275068,0.476224,2.46194,5.37473
hMOF-5067611,11.25,9.25,0.774164,2181.1,"O,Cu,C,N,H,Br",0.0117508,0.0546815,0.102019,0.563306,2.5277
hMOF-33696,5.25,4.25,0.624223,2464.4,"O,Cu,C,N,H",0.0639542,0.276374,0.625444,2.75988,7.5321
hMOF-5069150,5.75,4.75,0.542622,2249.1,"O,Cu,C,N,H",0.0253981,0.129431,0.233554,1.07811,4.27411
hMOF-5079184,13.75,12.25,0.864697,4677.0,"O,Cu,C,N,H",0.0345593,0.207273,0.368355,1.72215,6.99717
hMOF-5075215,6.25,4.75,0.660452,2117.4,"O,Cu,C,N,H,Cl",0.0711481,0.37578,0.726986,3.68722,8.27277
hMOF-5059913,3.75,2.75,0.169683,41.8,"O,Cu,C,N,H",0.0126961,0.0666867,0.121831,0.406148,1.27282
hMOF-28903,6.25,3.75,0.57687,1757.9,"O,Cu,C,N,H,F",0.121624,0.664304,1.27598,5.06788,9.03969
hMOF-37656,9.25,7.75,0.697872,2843.5,"O,Cu,C,N,H",0.032492,0.188242,0.374246,1.77317,7.26867
hMOF-5068886,9.75,8.25,0.783183,4819.5,"O,Cu,C,N,H",0.00807777,0.0401918,0.0868852,0.437381,2.46175
hMOF-29590,7.25,5.25,0.687919,2692.7,"O,Cu,C,N,H",0.052919,0.296316,0.503417,2.25691,8.06764
hMOF-5078965,14.75,13.25,0.879806,5276.9,"O,Cu,C,N,H",0.00706869,0.0367793,0.0788601,0.346366,1.87331
hMOF-4000363,9.75,8.75,0.724258,1130.0,"O,Cu,C,H",0.0852589,0.366839,0.687206,2.47625,8.86859
hMOF-5065430,9.75,8.75,0.740551,3595.4,"O,Cu,C,N,H",0.0178805,0.100826,0.181661,0.919232,4.43437
hMOF-5070219,5.25,4.75,0.258542,239.4,"O,Cu,C,N,H",0.381525,0.710793,0.92269,1.24676,1.57507
hMOF-33642,5.75,4.25,0.631123,2610.7,"O,Cu,C,N,H,F",0.0784522,0.396457,0.75824,3.68061,8.49034
hMOF-5080772,8.75,4.75,0.694778,1693.3,"O,Cu,C,N,H,Br",0.0276143,0.136912,0.294921,1.46889,5.76918
hMOF-5070401,7.75,6.75,0.601906,1869.7,"O,Cu,C,N,H",0.0689377,0.35738,0.71202,2.96995,7.60219
hMOF-5077487,4.25,3.25,0.456699,895.1,"O,Cu,C,N,H",0.0326393,0.167859,0.361936,1.58508,4.91411
hMOF-5073051,12.75,11.75,0.837888,6080.5,"O,Cu,C,N,H",0.00566941,0.0308038,0.0610406,0.291219,1.49975
hMOF-5075173,10.75,9.75,0.846737,4195.6,"O,Cu,C,N,H",0.0232632,0.10609,0.225985,1.14245,5.40702
hMOF-5081410,6.75,4.25,0.742593,2235.4,"O,Cu,C,N,H",0.750785,2.10168,2.75423,5.87855,9.14913
hMOF-5064769,9.25,8.25,0.713299,2865.4,"O,Cu,C,N,H,Br",0.00848322,0.0472636,0.0843128,0.414293,2.14071
hMOF-32017,6.75,5.25,0.619792,1769.5,"O,Cu,C,N,H,Cl",0.110443,0.56634,1.2246,4.73518,8.04585
hMOF-5072936,5.25,3.75,0.554966,1927.2,"O,Cu,C,N,H",0.0650403,0.294778,0.626215,2.72169,7.01618
hMOF-5076745,5.75,3.75,0.376161,699.3,"O,Cu,C,N,H",0.0972567,0.515117,0.938491,2.93587,5.05753
hMOF-5078263,5.75,4.25,0.601974,2497.3,"O,Cu,C,N,H",0.0317578,0.161607,0.314878,1.62898,6.71839
hMOF-5065580,10.75,9.75,0.81094,5087.5,"O,Cu,C,N,H",0.0069262,0.0343836,0.0591201,0.306237,1.7788
hMOF-5066952,7.75,6.75,0.617671,1681.7,"O,Cu,C,N,H",0.0970652,0.516946,1.08154,4.3247,8.82573
hMOF-5072465,4.25,2.75,0.271893,128.7,"O,Cu,C,N,H",0.0562868,0.238991,0.470833,1.47645,2.41325
hMOF-5074469,7.25,5.75,0.679818,2927.7,"O,Cu,C,N,H",0.0300464,0.145847,0.310534,1.55283,6.91019
hMOF-5080466,6.25,4.75,0.63475,2250.2,"O,Cu,C,N,H,Cl",0.0426104,0.222274,0.498233,2.37474,7.78663
hMOF-5069447,9.25,8.25,0.661797,2007.7,"O,Cu,C,N,H",0.0299923,0.146653,0.301797,1.4479,5.86238
hMOF-35420,12.75,11.75,0.798193,3079.3,"O,Cu,C,N,H,F",0.0187206,0.1215,0.227339,1.16924,7.01202
hMOF-5075199,5.75,3.75,0.593855,2545.7,"O,Cu,C,N,H,F",0.0586164,0.309111,0.601407,3.13668,8.59437
hMOF-5061962,6.75,6.25,0.630909,2700.5,"O,Cu,C,N,H,F",0.0101663,0.0473534,0.0984523,0.548176,2.78823
hMOF-37696,9.25,8.25,0.622327,1806.5,"O,Cu,C,N,H",0.175901,0.852581,1.33329,4.52345,9.15315
hMOF-27476,4.75,2.75,0.395255,518.0,"O,Cu,C,N,H",0.2206,0.8402,1.32809,2.68385,3.48465
hMOF-5082337,5.25,2.75,0.385466,444.5,"O,Cu,C,N,H,Br",0.0385753,0.185336,0.328089,0.989307,2.34099
hMOF-5071210,12.25,10.25,0.811631,3448.1,"O,Cu,C,N,H,Cl",0.0139365,0.0801082,0.156387,0.783209,4.10946
hMOF-5059728,9.75,6.25,0.753507,4619.4,"O,Cu,C,N,H",0.014159,0.0813477,0.143193,0.764054,4.34549
hMOF-5080464,3.25,2.75,0.102382,5.8,"O,Cu,C,N,H,F",0.178726,0.453847,0.542046,0.871852,1.28294
hMOF-33397,8.25,7.25,0.680805,2310.6,"O,Cu,C,N,H",0.0746484,0.373719,0.725258,3.79335,10.6096
hMOF-5059048,9.25,8.25,0.75724,4480.8,"O,Cu,C,N,H",0.0127215,0.0719853,0.130629,0.690377,3.53938
hMOF-5066016,4.75,3.75,0.291701,579.2,"O,Cu,C,N,H,F",0.151334,0.665345,1.05491,2.25983,3.02482
hMOF-5073397,12.75,11.75,0.804294,5465.0,"O,Cu,C,N,H",0.0221203,0.0910132,0.208544,1.07364,4.44432
hMOF-30766,5.25,4.25,0.486926,1406.6,"O,Cu,C,N,H",0.0256761,0.134017,0.287447,1.25625,3.65352
hMOF-5061095,7.25,5.75,0.716197,3524.8,"O,Cu,C,N,H",0.0287323,0.155351,0.276986,1.47759,7.96831
hMOF-5081772,5.25,3.75,0.809981,1891.7,"O,Cu,C,N,H",2.14465,4.23309,5.08874,7.21893,8.5162
hMOF-5072332,6.25,4.75,0.591496,2206.0,"O,Cu,C,N,H",0.0336889,0.159087,0.313806,1.5072,5.55251
hMOF-5060968,12.25,9.75,0.857053,2783.1,"O,Cu,C,N,H,Br",0.00728273,0.0443032,0.0862801,0.456081,2.34999
hMOF-5069723,12.25,11.25,0.77062,4439.2,"O,Cu,C,N,H",0.006949,0.0357619,0.0798287,0.372195,2.29283
hMOF-5082949,10.25,9.25,0.786789,3200.1,"O,Cu,C,N,H",0.0285523,0.142915,0.28739,1.2597,5.74608
hMOF-27493,7.75,6.75,0.72532,3238.0,"O,Cu,C,N,H,F",0.0426509,0.230545,0.498698,2.22375,9.79961
hMOF-5080755,5.75,4.75,0.674628,1623.2,"O,Cu,C,N,H,Cl",0.60969,2.30645,3.7201,6.58311,8.19573
hMOF-33486,13.75,12.75,0.827494,4447.9,"O,Cu,C,N,H",0.024597,0.109587,0.220773,1.01658,4.88311
hMOF-36712,5.25,4.75,0.393711,885.8,"O,Cu,C,N,H",0.0196276,0.1106,0.204065,0.906299,2.56437
hMOF-5063855,7.75,5.25,0.555156,1473.8,"O,Cu,C,N,H,Br",0.0196669,0.0855894,0.187659,0.80766,3.07221
hMOF-5062376,9.25,8.25,0.709037,3354.9,"O,Cu,C,N,H",0.00821915,0.0462327,0.0973969,0.455752,2.17725
hMOF-28855,5.25,4.75,0.548493,683.5,"O,Cu,C,N,H,Br",0.17502,0.693195,1.19505,2.49013,3.46221
hMOF-5075865,5.25,3.25,0.588999,1545.7,"O,Cu,C,N,H",0.120981,0.621627,1.24693,4.52058,8.3807
hMOF-5078436,6.25,4.75,0.482265,720.5,"O,Cu,C,N,H,Br",0.0406355,0.222114,0.381169,1.42636,3.10512
hMOF-3001381,13.25,10.25,0.861056,5859.2,"O,Cu,N,C,H",0.00511306,0.0298858,0.0564737,0.288198,1.3839
hMOF-33977,8.25,7.25,0.626643,1796.9,"O,Cu,C,N,H,Cl",0.0358264,0.192817,0.37487,2.02088,6.30452
hMOF-5061996,7.25,6.75,0.656141,2853.7,"O,Cu,C,N,H",0.0140363,0.0595139,0.136994,0.716694,3.09585
hMOF-5069256,5.75,3.75,0.442182,668.3,"O,Cu,C,N,H,Br",0.0695302,0.312643,0.581916,1.74804,3.06248
hMOF-32601,6.25,5.25,0.51414,1166.0,"O,Cu,C,N,H,Br",0.0144125,0.0930142,0.166945,0.741712,2.43585
hMOF-5068521,9.25,7.75,0.720631,3552.8,"O,Cu,C,N,H",0.0321166,0.159485,0.305519,1.48917,6.16089
hMOF-37268,5.75,3.25,0.592848,1016.6,"O,Cu,C,N,H",0.488857,1.91357,2.68743,5.30652,7.52423
hMOF-37246,4.75,3.25,0.471938,723.0,"O,Cu,C,N,H",0.310691,1.36092,2.12806,4.25431,5.34677
